ep01,ep04,pi02,pv01,lm01,lm02,hs01,hs04,hs06,hs07,sex,age,iscd975,work,inc,miscd975,fiscd975,gkpol,hhinc,mstat,gd02,fe13,fe14,fe15,fe16,fe17,mc04,im18,xt10
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,300.0,SCHLECHT,FAST NIE,FAST NIE,FAST NIE,FRAU,64.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1438,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,1438,LEDIG,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,180.0
,,,WUERDE NICHT WAEHLEN,AN ALLEN 7 TAGEN,90.0,GUT,OFT,MANCHMAL,FAST NIE,FRAU,56.0,POST SECONDARY,"VOLLZEIT, GANZTAGS",,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,,VERH.GETRENNT LEBEND,12,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER NICHT ZU,36.0
SEHR GUT,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,FDP,AN 6 TAGEN,90.0,SEHR GUT,,,,FRAU,81.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,,TERTIARY EDUCATION,TERTIARY EDUCATION,50.000 - 99.999 EINW,,VERHEIRAT.ZUSAM.LEB.,,,,,,,JA,STIMME EHER NICHT ZU,150.0
,,SOZ.LEIST.KUERZEN,AFD,AN ALLEN 7 TAGEN,270.0,GUT,FAST NIE,OFT,OFT,FRAU,35.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1063,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,2125,LEDIG,17,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,DRITTE STELLE,NEIN,STIMME VOLL ZU,81.0
TEILS TEILS,WESENTLICH BESSER,SOZ.LEIST.KUERZEN,DIE GRUENEN,AN 5 TAGEN,180.0,GUT,IMMER,MANCHMAL,MANCHMAL,FRAU,25.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1015,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,3700,LEDIG,,FUENFTE STELLE,VIERTE STELLE,ZWEITE STELLE,DRITTE STELLE,AM WICHTIGSTEN,,STIMME EHER NICHT ZU,38.0
,,SOZ.LEIST.AUSWEITEN,,AN ALLEN 7 TAGEN,180.0,GUT,IMMER,OFT,OFT,MANN,32.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2900,TERTIARY EDUCATION,TERTIARY EDUCATION,100.000 - 499.999 E.,2900,LEDIG,4,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME VOLL ZU,52.0
TEILS TEILS,GLEICHBLEIBEND,,,AN ALLEN 7 TAGEN,285.0,ZUFRIEDENSTELLEND,FAST NIE,FAST NIE,FAST NIE,FRAU,58.0,LOWER SECONDARY,NEBENHER BERUFSTAE.,450,,,20.000 - 49.999 EINW,1313,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,ZWEITE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,DRITTE STELLE,,STIMME VOLL ZU,100.0
TEILS TEILS,WESENTL. SCHLECHTER,SOZ.LEIST.WIE BISHER,AFD,AN 3 TAGEN,,SEHR GUT,,,,MANN,74.0,UPPER SECONDARY,,,,,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,19,,,,,,JA,STIMME GAR NICHT ZU,75.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 5 TAGEN,903.0,GUT,MANCHMAL,OFT,MANCHMAL,MANN,46.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1600,TERTIARY EDUCATION,UPPER SECONDARY,5.000  - 19.999 EINW,1600,LEDIG,,AM WICHTIGSTEN,FUENFTE STELLE,DRITTE STELLE,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,42.0
,,SOZ.LEIST.KUERZEN,FDP,AN 6 TAGEN,300.0,ZUFRIEDENSTELLEND,OFT,MANCHMAL,FAST NIE,MANN,62.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2625,UPPER SECONDARY,POST SECONDARY,BIS 1.999 EINWOHNER,2875,VERHEIRAT.ZUSAM.LEB.,36,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER NICHT ZU,55.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN ALLEN 7 TAGEN,120.0,SEHR GUT,,,,FRAU,38.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",2300,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,4600,VERHEIRAT.ZUSAM.LEB.,4,,,,,,NEIN,STIMME EHER ZU,18.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,,AN 5 TAGEN,165.0,WENIGER GUT,,,,MANN,52.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,LOWER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,,LEDIG,52,,,,,,NEIN,STIMME EHER ZU,95.0
TEILS TEILS,WESENTL. SCHLECHTER,SOZ.LEIST.AUSWEITEN,,AN ALLEN 7 TAGEN,180.0,ZUFRIEDENSTELLEND,,,,FRAU,73.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1438,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,1625,VERWITWET,19,,,,,,NEIN,STIMME VOLL ZU,25755.0
,,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN EINEM TAG,120.0,SEHR GUT,FAST NIE,OFT,OFT,MANN,28.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2375,TERTIARY EDUCATION,TERTIARY EDUCATION,50.000 - 99.999 EINW,2375,LEDIG,1,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,68.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,,AN 4 TAGEN,210.0,GUT,OFT,MANCHMAL,OFT,MANN,52.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1625,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,3250,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,ZWEITE STELLE,AM WICHTIGSTEN,VIERTE STELLE,DRITTE STELLE,,STIMME GAR NICHT ZU,107.0
,,SOZ.LEIST.KUERZEN,,AN ALLEN 7 TAGEN,150.0,GUT,MANCHMAL,MANCHMAL,MANCHMAL,FRAU,78.0,LOWER SECONDARY,NICHT ERWERBSTAETIG,,UPPER SECONDARY,TERTIARY EDUCATION,20.000 - 49.999 EINW,,GESCHIEDEN,53,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,DRITTE STELLE,JA,STIMME GAR NICHT ZU,
GUT,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,,AN 6 TAGEN,135.0,GUT,IMMER,FAST NIE,FAST NIE,FRAU,51.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2200,LOWER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,,VERHEIRAT.ZUSAM.LEB.,,,,AM WICHTIGSTEN,,ZWEITE STELLE,,STIMME VOLL ZU,46.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,CDU-CSU,AN ALLEN 7 TAGEN,300.0,ZUFRIEDENSTELLEND,FAST NIE,OFT,OFT,MANN,62.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",450,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,2875,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,0.0
,,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN ALLEN 7 TAGEN,210.0,GUT,FAST NIE,OFT,MANCHMAL,FRAU,77.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1625,LOWER SECONDARY,TERTIARY EDUCATION,500.000 UND MEHR E.,2375,VERHEIRAT.ZUSAM.LEB.,37,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,125.0
GUT,ETWAS BESSER,SOZ.LEIST.KUERZEN,CDU-CSU,AN ALLEN 7 TAGEN,210.0,WENIGER GUT,,,,MANN,61.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2875,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,5500,VERHEIRAT.ZUSAM.LEB.,61,,,,,,NEIN,STIMME GAR NICHT ZU,3900.0
,,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,270.0,GUT,OFT,MANCHMAL,MANCHMAL,MANN,36.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3050,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,6400,LEDIG,5,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,DRITTE STELLE,NEIN,STIMME EHER NICHT ZU,39.0
TEILS TEILS,WESENTLICH BESSER,,,NIE,,,,,,MANN,19.0,,,,,,100.000 - 499.999 E.,,,,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,DRITTE STELLE,,,28.0
,,,DIE GRUENEN,SELTENER,90.0,SEHR GUT,OFT,MANCHMAL,FAST NIE,MANN,37.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4250,UPPER SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,5500,VERHEIRAT.ZUSAM.LEB.,37,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,44648.0
TEILS TEILS,ETWAS SCHLECHTER,,FDP,AN ALLEN 7 TAGEN,135.0,GUT,,,,MANN,56.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2375,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,25,,,,,,NEIN,STIMME EHER NICHT ZU,3258.0
,,SOZ.LEIST.WIE BISHER,AFD,AN 4 TAGEN,120.0,GUT,IMMER,FAST NIE,MANCHMAL,MANN,38.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2400,UPPER SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,5000,LEDIG,34,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,12.0
,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 5 TAGEN,120.0,ZUFRIEDENSTELLEND,MANCHMAL,OFT,OFT,MANN,59.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3750,UPPER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,4250,VERHEIRAT.ZUSAM.LEB.,,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,VIERTE STELLE,,STIMME EHER NICHT ZU,1470.0
,,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,180.0,SEHR GUT,MANCHMAL,OFT,OFT,FRAU,41.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",2125,UPPER SECONDARY,TERTIARY EDUCATION,BIS 1.999 EINWOHNER,3250,VERHEIRAT.ZUSAM.LEB.,7,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER NICHT ZU,60.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,240.0,ZUFRIEDENSTELLEND,,,,FRAU,56.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",,,,5.000  - 19.999 EINW,,GESCHIEDEN,56,,,,,,NEIN,STIMME EHER NICHT ZU,62.0
,,SOZ.LEIST.KUERZEN,AFD,AN ALLEN 7 TAGEN,150.0,SEHR GUT,OFT,FAST NIE,MANCHMAL,MANN,19.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1875,UPPER SECONDARY,UPPER SECONDARY,20.000 - 49.999 EINW,,LEDIG,19,ZWEITE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,VIERTE STELLE,JA,STIMME VOLL ZU,70.0
,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 6 TAGEN,,GUT,,,,FRAU,73.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,2625,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,2625,VERHEIRAT.ZUSAM.LEB.,51,,,,,,JA,,
SEHR GUT,ETWAS BESSER,,AFD,AN ALLEN 7 TAGEN,90.0,GUT,,,,MANN,47.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2875,POST SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,2875,VERH.GETRENNT LEBEND,35,,,,,,NEIN,STIMME GAR NICHT ZU,1465.0
,,SOZ.LEIST.WIE BISHER,CDU-CSU,,,SEHR GUT,FAST NIE,OFT,OFT,FRAU,81.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,,,,20.000 - 49.999 EINW,,VERHEIRAT.ZUSAM.LEB.,47,AM WICHTIGSTEN,ZWEITE STELLE,DRITTE STELLE,FUENFTE STELLE,VIERTE STELLE,JA,STIMME EHER ZU,
,,,FDP,AN 6 TAGEN,165.0,ZUFRIEDENSTELLEND,NIE,IMMER,IMMER,MANN,36.0,POST SECONDARY,"VOLLZEIT, GANZTAGS",6000,UPPER SECONDARY,,20.000 - 49.999 EINW,9000,VERHEIRAT.ZUSAM.LEB.,3,,,AM WICHTIGSTEN,,ZWEITE STELLE,JA,STIMME GAR NICHT ZU,33.0
,,SOZ.LEIST.WIE BISHER,,AN 5 TAGEN,90.0,ZUFRIEDENSTELLEND,OFT,MANCHMAL,OFT,MANN,50.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2875,TERTIARY EDUCATION,TERTIARY EDUCATION,100.000 - 499.999 E.,4750,VERHEIRAT.ZUSAM.LEB.,23,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,61.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,,AN 6 TAGEN,90.0,SCHLECHT,OFT,MANCHMAL,FAST NIE,FRAU,58.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",2125,LOWER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,4750,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,100.0
,,SOZ.LEIST.AUSWEITEN,CDU-CSU,AN ALLEN 7 TAGEN,200.0,WENIGER GUT,OFT,FAST NIE,FAST NIE,FRAU,73.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1063,LOWER SECONDARY,TERTIARY EDUCATION,500.000 UND MEHR E.,2875,VERHEIRAT.ZUSAM.LEB.,8,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,DRITTE STELLE,JA,STIMME VOLL ZU,180.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,180.0,GUT,,,,FRAU,29.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2375,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,16,,,,,,JA,STIMME EHER NICHT ZU,48.0
,,SOZ.LEIST.WIE BISHER,AFD,AN ALLEN 7 TAGEN,270.0,ZUFRIEDENSTELLEND,MANCHMAL,MANCHMAL,MANCHMAL,MANN,58.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2625,TERTIARY EDUCATION,TERTIARY EDUCATION,20.000 - 49.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,32,VIERTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,NEIN,STIMME GAR NICHT ZU,130.0
SEHR GUT,ETWAS BESSER,,DIE GRUENEN,NIE,,SEHR GUT,MANCHMAL,OFT,OFT,MANN,32.0,POST SECONDARY,"VOLLZEIT, GANZTAGS",2000,TERTIARY EDUCATION,TERTIARY EDUCATION,5.000  - 19.999 EINW,,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME VOLL ZU,109.0
GUT,ETWAS BESSER,SOZ.LEIST.KUERZEN,DIE LINKE,AN 2 TAGEN,180.0,SEHR GUT,MANCHMAL,IMMER,OFT,MANN,42.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1875,UPPER SECONDARY,UPPER SECONDARY,50.000 - 99.999 EINW,1875,GESCHIEDEN,,VIERTE STELLE,FUENFTE STELLE,DRITTE STELLE,ZWEITE STELLE,AM WICHTIGSTEN,,STIMME EHER ZU,
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,150.0,GUT,MANCHMAL,FAST NIE,OFT,FRAU,70.0,,NICHT ERWERBSTAETIG,1063,LOWER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,2625,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,100.0
,,,DIE GRUENEN,SELTENER,45.0,SEHR GUT,MANCHMAL,OFT,MANCHMAL,MANN,46.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",5000,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,5000,VERHEIRAT.ZUSAM.LEB.,12,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,152.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN ALLEN 7 TAGEN,90.0,GUT,,,,FRAU,57.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1625,UPPER SECONDARY,TERTIARY EDUCATION,20.000 - 49.999 EINW,3750,VERHEIRAT.ZUSAM.LEB.,57,,,,,,NEIN,STIMME EHER ZU,17800.0
,,SOZ.LEIST.WIE BISHER,SPD,AN 4 TAGEN,165.0,SEHR GUT,MANCHMAL,MANCHMAL,OFT,MANN,72.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,4250,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,4250,VERHEIRAT.ZUSAM.LEB.,34,VIERTE STELLE,FUENFTE STELLE,ZWEITE STELLE,DRITTE STELLE,AM WICHTIGSTEN,JA,STIMME EHER NICHT ZU,2367.0
GUT,ETWAS BESSER,,DIE LINKE,AN ALLEN 7 TAGEN,720.0,WENIGER GUT,FAST NIE,MANCHMAL,FAST NIE,MANN,77.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,3000,LOWER SECONDARY,TERTIARY EDUCATION,500.000 UND MEHR E.,3170,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,VIERTE STELLE,DRITTE STELLE,,STIMME VOLL ZU,80.0
,,SOZ.LEIST.AUSWEITEN,SPD,AN 3 TAGEN,180.0,GUT,OFT,FAST NIE,MANCHMAL,FRAU,33.0,TERTIARY EDUCATION,"TEILZEIT, HALBTAGS",1313,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,3750,VERHEIRAT.ZUSAM.LEB.,1,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,60.0
,,SOZ.LEIST.WIE BISHER,FDP,AN ALLEN 7 TAGEN,210.0,GUT,FAST NIE,OFT,MANCHMAL,MANN,63.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,2000,UPPER SECONDARY,TERTIARY EDUCATION,20.000 - 49.999 EINW,4500,VERHEIRAT.ZUSAM.LEB.,3,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,JA,STIMME GAR NICHT ZU,42.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,SPD,AN ALLEN 7 TAGEN,180.0,GUT,,,,MANN,74.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,2100,LOWER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,3500,VERHEIRAT.ZUSAM.LEB.,74,,,,,,NEIN,STIMME EHER NICHT ZU,12.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,,AN ALLEN 7 TAGEN,330.0,ZUFRIEDENSTELLEND,,,,FRAU,64.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1188,TERTIARY EDUCATION,,,2375,VERHEIRAT.ZUSAM.LEB.,35,,,,,,NEIN,STIMME EHER ZU,26037.0
GUT,WESENTLICH BESSER,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN 2 TAGEN,90.0,SEHR GUT,MANCHMAL,MANCHMAL,MANCHMAL,FRAU,24.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,KEIN EINKOMMEN,POST SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,1188,LEDIG,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,1428.0
SEHR GUT,WESENTLICH BESSER,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,NIE,,SEHR GUT,MANCHMAL,OFT,OFT,FRAU,35.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2875,UPPER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,6750,LEDIG,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME VOLL ZU,47.0
,,SOZ.LEIST.WIE BISHER,CDU-CSU,AN 5 TAGEN,120.0,SEHR GUT,MANCHMAL,OFT,OFT,FRAU,63.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4750,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,6750,VERHEIRAT.ZUSAM.LEB.,63,DRITTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,75.0
GUT,GLEICHBLEIBEND,,DIE GRUENEN,AN 5 TAGEN,150.0,SEHR GUT,OFT,OFT,MANCHMAL,MANN,19.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,450,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,,LEDIG,,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,47.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,AFD,AN 4 TAGEN,1200.0,ZUFRIEDENSTELLEND,OFT,FAST NIE,FAST NIE,MANN,33.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",938,LOWER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,1875,LEDIG,,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,ZWEITE STELLE,VIERTE STELLE,,STIMME VOLL ZU,260.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,300.0,GUT,FAST NIE,OFT,OFT,FRAU,70.0,BASIC EDUCATION,NICHT ERWERBSTAETIG,200,LOWER SECONDARY,,5.000  - 19.999 EINW,2900,VERHEIRAT.ZUSAM.LEB.,,,,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,86.0
,,SOZ.LEIST.AUSWEITEN,CDU-CSU,AN 5 TAGEN,120.0,SEHR GUT,OFT,MANCHMAL,OFT,FRAU,38.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1313,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,,VERHEIRAT.ZUSAM.LEB.,37,VIERTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER ZU,66.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.KUERZEN,,AN ALLEN 7 TAGEN,180.0,ZUFRIEDENSTELLEND,FAST NIE,OFT,OFT,MANN,64.0,POST SECONDARY,NICHT ERWERBSTAETIG,,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,,LEDIG,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,
,,SOZ.LEIST.AUSWEITEN,,AN 2 TAGEN,120.0,GUT,MANCHMAL,OFT,OFT,MANN,56.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",5000,UPPER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,6000,VERHEIRAT.ZUSAM.LEB.,54,,,AM WICHTIGSTEN,,ZWEITE STELLE,JA,STIMME EHER ZU,110.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,FDP,AN ALLEN 7 TAGEN,180.0,WENIGER GUT,,,,MANN,81.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1063,LOWER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,2125,VERHEIRAT.ZUSAM.LEB.,41,,,,,,NEIN,STIMME VOLL ZU,
GUT,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN EINEM TAG,120.0,SEHR GUT,IMMER,FAST NIE,NIE,MANN,22.0,POST SECONDARY,"VOLLZEIT, GANZTAGS",1625,UPPER SECONDARY,TERTIARY EDUCATION,100.000 - 499.999 E.,1625,LEDIG,,FUENFTE STELLE,DRITTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,,STIMME EHER NICHT ZU,9338.0
TEILS TEILS,ETWAS SCHLECHTER,,DIE LINKE,AN 5 TAGEN,210.0,SEHR GUT,MANCHMAL,MANCHMAL,MANCHMAL,MANN,53.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",1700,UPPER SECONDARY,LOWER SECONDARY,5.000  - 19.999 EINW,3600,GESCHIEDEN,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,52.0
